frequency,e',e'',u',u''
8250000000.0000,   4.2930,   0.4853,   1.0170,   0.0156
8252593750.0000,   4.2945,   0.4840,   1.0175,   0.0124
8255187500.0000,   4.2963,   0.4865,   1.0169,   0.0129
8257781250.0000,   4.2908,   0.4880,   1.0193,   0.0125
8260375000.0000,   4.2968,   0.4866,   1.0187,   0.0111
8262968750.0000,   4.2920,   0.4897,   1.0191,   0.0114
8265562500.0000,   4.2929,   0.4897,   1.0198,   0.0110
8268156250.0000,   4.2963,   0.4900,   1.0190,   0.0113
8270750000.0000,   4.2953,   0.4892,   1.0193,   0.0110
8273343750.0000,   4.2979,   0.4903,   1.0199,   0.0086
8275937500.0000,   4.2967,   0.4921,   1.0206,   0.0112
8278531250.0000,   4.3004,   0.4919,   1.0195,   0.0083
8281125000.0000,   4.2962,   0.4919,   1.0214,   0.0102
8283718750.0000,   4.2983,   0.4897,   1.0214,   0.0078
8286312500.0000,   4.3022,   0.4944,   1.0201,   0.0095
8288906250.0000,   4.3056,   0.4981,   1.0207,   0.0098
8291500000.0000,   4.3026,   0.4914,   1.0203,   0.0075
8294093750.0000,   4.3042,   0.4963,   1.0212,   0.0089
8296687500.0000,   4.3057,   0.4933,   1.0215,   0.0097
8299281250.0000,   4.3109,   0.4910,   1.0204,   0.0068
8301875000.0000,   4.3081,   0.4918,   1.0210,   0.0075
8304468750.0000,   4.3129,   0.4928,   1.0205,   0.0082
8307062500.0000,   4.3096,   0.4921,   1.0209,   0.0089
8309656250.0000,   4.3138,   0.4910,   1.0195,   0.0071
8312250000.0000,   4.3153,   0.4935,   1.0194,   0.0084
8314843750.0000,   4.3153,   0.4903,   1.0207,   0.0067
8317437500.0000,   4.3125,   0.4880,   1.0200,   0.0076
8320031250.0000,   4.3145,   0.4894,   1.0199,   0.0100
8322625000.0000,   4.3181,   0.4849,   1.0194,   0.0072
8325218750.0000,   4.3187,   0.4853,   1.0191,   0.0087
8327812500.0000,   4.3183,   0.4877,   1.0192,   0.0106
8330406250.0000,   4.3189,   0.4829,   1.0193,   0.0085
8333000000.0000,   4.3224,   0.4864,   1.0188,   0.0099
8335593750.0000,   4.3207,   0.4859,   1.0179,   0.0092
8338187500.0000,   4.3234,   0.4852,   1.0176,   0.0106
8340781250.0000,   4.3236,   0.4868,   1.0170,   0.0122
8343375000.0000,   4.3233,   0.4835,   1.0172,   0.0110
8345968750.0000,   4.3270,   0.4835,   1.0172,   0.0116
8348562500.0000,   4.3276,   0.4827,   1.0158,   0.0103
8351156250.0000,   4.3254,   0.4849,   1.0163,   0.0136
8353750000.0000,   4.3261,   0.4859,   1.0159,   0.0133
8356343750.0000,   4.3276,   0.4827,   1.0160,   0.0113
8358937500.0000,   4.3257,   0.4854,   1.0159,   0.0138
8361531250.0000,   4.3261,   0.4823,   1.0161,   0.0135
8364125000.0000,   4.3253,   0.4800,   1.0154,   0.0128
8366718750.0000,   4.3262,   0.4811,   1.0159,   0.0145
8369312500.0000,   4.3292,   0.4841,   1.0158,   0.0150
8371906250.0000,   4.3276,   0.4826,   1.0156,   0.0144
8374500000.0000,   4.3270,   0.4850,   1.0156,   0.0153
8377093750.0000,   4.3274,   0.4829,   1.0143,   0.0136
8379687500.0000,   4.3322,   0.4834,   1.0141,   0.0135
8382281250.0000,   4.3306,   0.4874,   1.0134,   0.0127
8384875000.0000,   4.3276,   0.4826,   1.0152,   0.0136
8387468750.0000,   4.3291,   0.4890,   1.0133,   0.0154
8390062500.0000,   4.3339,   0.4856,   1.0131,   0.0147
8392656250.0000,   4.3287,   0.4832,   1.0139,   0.0136
8395250000.0000,   4.3333,   0.4874,   1.0133,   0.0143
8397843750.0000,   4.3289,   0.4889,   1.0133,   0.0152
8400437500.0000,   4.3318,   0.4870,   1.0130,   0.0136
8403031250.0000,   4.3352,   0.4902,   1.0115,   0.0146
8405625000.0000,   4.3346,   0.4899,   1.0124,   0.0133
8408218750.0000,   4.3397,   0.4866,   1.0109,   0.0134
8410812500.0000,   4.3416,   0.4847,   1.0108,   0.0110
8413406250.0000,   4.3349,   0.4867,   1.0108,   0.0122
8416000000.0000,   4.3417,   0.4841,   1.0089,   0.0106
